id,codes,confidence
fffed90d-e90e-4454-9e4c-3f462ec2011c,[],0.0
fffea6c5-c715-4dc5-9ed8-6bd171fe37a5,"['10021', '10040', '10060']",0.48
fffdc557-54e1-4204-b6bf-96a619c118d0,"['70450', '70460', '70470', '88305', '88307', '88309', 'C78.00', 'C79.9']",0.48
fffcaafe-3744-4a7f-9d55-41055fbc300a,"['10021', '10040', '10060', 'C78.00', 'C79.9']",0.54
fffc6c9e-0f4b-41d0-b56e-927586bee19f,"['70551', '70552', '70553', '76700', '76705', '76706', '10021', '10040', '10060', 'C78.00', 'C79.9']",0.5999999999999999
fffc2606-96ca-41a9-8d6e-166b2e61bf1e,[],0.0
fffb2609-41dd-41ed-a76a-984e5e259a0d,[],0.0
fffaaa8a-5a45-44b4-96e5-dbef23cf8c16,"['10021', '10040', '10060', 'C78.00', 'C79.9']",0.54
fffa423e-f574-4204-b67e-438dc0bd92e6,[],0.0
fffa0d3f-3a95-4090-9673-62152232bcf2,"['10021', '10040', '10060']",0.6
fff98de1-9854-47fc-9637-7684579943f8,"['E11.9', 'E10.9', 'I10', 'I11.9']",0.48
fff91919-ff50-41e6-90b3-c51963fe39d7,[],0.0
fff8e4ae-7ac5-4269-b30b-138e1d7aea32,[],0.0
fff86190-f9b2-4ff3-9182-14ed229d1769,"['I10', 'I11.9']",0.54
fff85814-f069-4e6d-95c4-f2305daca12a,[],0.0
fff6e9c9-8f2e-4231-9c52-97e28246ba7a,"['10021', '10040', '10060']",0.48
fff6af06-fa57-4ae2-867e-d8f9e11389cf,[],0.0
fff69103-00db-453e-a66b-4751324e87c8,"['76700', '76705', '76706', '10021', '10040', '10060', 'C78.00', 'C79.9']",0.5999999999999999
fff62b1d-9215-49ed-ad6a-c26edcdd0d15,"['C78.00', 'C79.9']",0.48
fff5e475-3bb1-495f-82d1-eb2810083a6e,"['10021', '10040', '10060']",0.48
fff5dabe-efcf-4096-8461-2611ab58c0fa,[],0.0
fff5af6b-a168-4f51-8029-29ae024aeeb1,"['70450', '70460', '70470', '10021', '10040', '10060', 'E11.9', 'E10.9']",0.48
fff58d07-ca7c-4a58-95b6-91218c532de6,[],0.0
fff52812-046c-405e-86a8-2c167a4d8d9b,[],0.0
fff52186-be31-41ca-8be1-650ed2133c02,[],0.0
fff4f704-ede5-4f84-8468-ae756257c5c0,"['E11.9', 'E10.9', 'C78.00', 'C79.9', 'J18.9', 'J15.9']",0.48
fff4950b-8c83-497e-a3f5-57144f7b6ed7,[],0.0
fff3f2fc-93d5-41e9-992d-babab953aec9,"['10021', '10040', '10060', 'E11.9', 'E10.9', 'C78.00', 'C79.9']",0.54
fff31584-1167-4088-a0b7-3499949c6227,[],0.0
fff2ad38-e087-4205-a104-32445aa3e76c,"['70551', '70552', '70553', '76700', '76705', '76706', '10021', '10040', '10060', 'E11.9', 'E10.9', 'I10', 'I11.9', 'C78.00', 'C79.9']",0.4799999999999999
fff1addb-6068-4d9f-874f-774a30572ff8,"['C78.00', 'C79.9']",0.6
fff19d54-54e3-42bd-9df5-3c690429b39d,"['10021', '10040', '10060']",0.48
